duration_hours,external_count,replications,mean_response_min_mean,mean_response_min_ci95_low,mean_response_min_ci95_high,cumulative_response_gain_min_mean,cumulative_response_gain_min_ci95_low,cumulative_response_gain_min_ci95_high,marginal_response_gain_min_mean,marginal_response_gain_min_ci95_low,marginal_response_gain_min_ci95_high,total_delay_penalty_yuan_mean,total_delay_penalty_yuan_ci95_low,total_delay_penalty_yuan_ci95_high,avoided_penalty_yuan_mean,avoided_penalty_yuan_ci95_low,avoided_penalty_yuan_ci95_high,avoided_penalty_per_vehicle_yuan_mean,avoided_penalty_per_vehicle_yuan_ci95_low,avoided_penalty_per_vehicle_yuan_ci95_high,marginal_break_even_cost_yuan_mean,marginal_break_even_cost_yuan_ci95_low,marginal_break_even_cost_yuan_ci95_high,external_dispatches_mean,external_dispatches_ci95_low,external_dispatches_ci95_high,incident_zone_scenarios
0.5,0,10,6.15998233463833,4.103187253087732,8.216777416188927,0.0,0.0,0.0,,,,4331.204314514178,-219.90982073508258,8882.31844976344,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,10
0.5,1,10,5.430447797763747,3.9083470324510925,6.952548563076401,0.7295345368745826,0.1332361795987278,1.3258328941504374,0.7295345368745826,0.1332361795987278,1.3258328941504374,3137.0080324521846,-78.02092990517758,6352.036994809547,1194.196282061994,-163.68164478810036,2552.0742089120886,1194.196282061994,-163.68164478810036,2552.0742089120886,1194.196282061994,-163.68164478810036,2552.0742089120886,0.8400000000000001,0.6577750066827536,1.0222249933172465,10
0.5,2,10,5.0051479100547684,3.863603684766404,6.146692135343133,1.1548344245835616,0.1403913798827392,2.169277469284384,0.4252998877089788,-0.0028279901176453404,0.853427765535603,2337.8250970555564,31.657136327898115,4643.993057783215,1993.379217458622,-316.00344836793056,4302.761883285175,996.689608729311,-158.00172418396528,2151.3809416425875,799.1829353966284,-155.59740725618553,1753.9632780494424,1.4600000000000002,1.0345112821319424,1.885488717868058,10
0.5,3,10,4.797689105798386,3.872985744911845,5.722392466684927,1.362293228839944,0.09136159569606406,2.633224861983824,0.20745880425638238,-0.08603061482503219,0.500948223337797,1928.9511619480388,189.20839839407313,3668.6939255020043,2402.2531525661398,-464.7570338171431,5269.263338949422,800.7510508553798,-154.9190112723811,1756.4211129831408,408.87393510751724,-219.25726981042396,1037.0051400254583,1.95,1.2669683754305399,2.63303162456946,10
0.5,4,10,4.67623339496461,3.8647644464329693,5.487702343496251,1.483748939673721,0.050904333547289626,2.9165935458001524,0.12145571083377674,-0.054658284214394365,0.29756970588194787,1679.8659258271405,270.8205690425907,3088.9112826116902,2651.338388687038,-578.7102438141142,5881.3870211881895,662.8345971717595,-144.67756095352854,1470.3467552970474,249.08523612089857,-145.1067991704681,643.2772714122652,2.3200000000000003,1.38133348998302,3.2586665100169805,10
0.5,5,10,4.612615783567884,3.846122905273414,5.379108661862355,1.5473665510704462,0.02442211576023312,3.070310986380659,0.06361761139672557,-0.03206794992851497,0.15930317272196612,1551.4741994640644,299.535302664106,2803.413096264023,2779.730115050114,-646.680634641923,6206.14086474215,555.9460230100228,-129.33612692838472,1241.2281729484303,128.39172636307606,-78.02848786296619,334.8119405891183,2.59,1.4225817530651654,3.7574182469348343,10
0.5,6,10,4.58741493139573,3.8428617609243387,5.331968101867122,1.5725674032426002,-0.0022792927975752164,3.1474140992827757,0.02520085217215401,-0.037566091578294686,0.0879677959226027,1499.9139550584482,316.9032296170212,2682.924680499875,2831.2903594557306,-702.1051341696943,6364.685853081155,471.88172657595504,-117.0175223616157,1060.7809755135258,51.560244405616096,-75.40347364960925,178.52396246084143,2.78,1.4473097313576282,4.112690268642371,10
1.0,0,10,6.805021893207882,4.776115647306845,8.833928139108918,0.0,0.0,0.0,,,,8515.905746033928,1725.9759674882898,15305.835524579566,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,10
1.0,1,10,5.864715905068618,4.403823649997966,7.32560816013927,0.940305988139265,0.32833211473197144,1.5522798615465585,0.940305988139265,0.32833211473197144,1.5522798615465585,6099.800906372519,1396.4859859668422,10803.115826778198,2416.1048396614074,270.38627933846783,4561.823399984347,2416.1048396614074,270.38627933846783,4561.823399984347,2416.1048396614074,270.38627933846783,4561.823399984347,1.47,1.24116031856602,1.69883968143398,10
1.0,2,10,5.262545764500978,4.207653461604209,6.317438067397748,1.5424761287069049,0.5223598818413713,2.5625923755724385,0.6021701405676398,0.16610456752371378,1.0382357136115659,4479.994062950359,1189.1832584602762,7770.804867440442,4035.9116830835674,515.5123722925409,7556.310993874594,2017.9558415417837,257.75618614627047,3778.155496937297,1619.80684342216,178.5127656895413,3061.100921154779,2.48,2.0228178446257705,2.9371821553742294,10
