incident_zone,duration_hours,external_count,replications,mean_response_min_mean,mean_response_min_ci95_low,mean_response_min_ci95_high,cumulative_response_gain_min_mean,cumulative_response_gain_min_ci95_low,cumulative_response_gain_min_ci95_high,marginal_response_gain_min_mean,marginal_response_gain_min_ci95_low,marginal_response_gain_min_ci95_high,total_delay_penalty_yuan_mean,total_delay_penalty_yuan_ci95_low,total_delay_penalty_yuan_ci95_high,avoided_penalty_yuan_mean,avoided_penalty_yuan_ci95_low,avoided_penalty_yuan_ci95_high,avoided_penalty_per_vehicle_yuan_mean,avoided_penalty_per_vehicle_yuan_ci95_low,avoided_penalty_per_vehicle_yuan_ci95_high,marginal_break_even_cost_yuan_mean,marginal_break_even_cost_yuan_ci95_low,marginal_break_even_cost_yuan_ci95_high,external_dispatches_mean,external_dispatches_ci95_low,external_dispatches_ci95_high
1,0.5,0,10,6.958107506207635,4.398603548609213,9.517611463806057,0.0,0.0,0.0,,,,6580.327423846458,697.3982025682108,12463.256645124706,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
1,0.5,1,10,5.862877902849657,3.945672033321924,7.780083772377391,1.0952296033579763,0.2730876638937867,1.9173715428221658,1.0952296033579763,0.2730876638937867,1.9173715428221658,4796.799757928828,643.229072822076,8950.37044303558,1783.5276659176313,-93.84169129462111,3660.8970231298836,1783.5276659176313,-93.84169129462111,3660.8970231298836,1783.5276659176313,-93.84169129462111,3660.8970231298836,1.0,1.0,1.0
1,0.5,2,10,5.0229449380541045,3.775133815778779,6.27075606032943,1.9351625681535296,0.5317600453853724,3.338565090921687,0.8399329647955535,0.12876367255356025,1.5511022570375466,3210.597438651963,604.9467845924819,5816.248092711444,3369.7299851944963,38.58682436405161,6700.873146024941,1684.8649925972481,19.293412182025804,3350.4365730124705,1586.2023192768645,-42.3850454477797,3214.7896840015087,1.8,1.4983790449602394,2.1016209550397607
1,0.5,3,10,4.466585516947873,3.5969942932738306,5.336176740621916,2.4915219892597604,0.6262996158800753,4.3567443626394455,0.5563594211062309,0.035094457085997455,1.0776243851264644,2232.257784362952,541.2336086102396,3923.2819601156643,4348.069639483507,-8.969156054994528,8705.108435022008,1449.3565464945023,-2.9897186849980244,2901.7028116740025,978.3396542890108,-93.41456307877877,2050.0938716568003,2.6,1.9967580899204789,3.2032419100795213
1,0.5,4,10,4.233201898236972,3.4529177199458974,5.0134860765280465,2.724905607970663,0.740223360920208,4.709587855021118,0.2333836187109019,0.005298001756926657,0.4614692356648772,1865.0746497488883,336.27498205565416,3393.8743174421224,4715.252774097571,160.12200962075622,9270.383538574386,1178.8131935243928,40.030502405189054,2317.5958846435965,367.1831346140636,11.85253229554155,722.5137369325856,3.3,2.4046123998096993,4.1953876001903
1,0.5,5,10,4.025819825689803,3.3153237271318767,4.736315924247729,2.9322876805178306,0.6533204071607979,5.211254953874864,0.2073820725471683,-0.15290461769198047,0.5676687627863171,1465.677950189273,239.83979297748533,2691.5161074010603,5114.649473657186,-98.86991188543288,10328.168859199805,1022.9298947314371,-19.773982377086668,2065.633771839961,399.39669955961523,-344.0201256062024,1142.813524725433,3.9,2.7101254023728165,5.089874597627183
1,0.5,6,10,4.027034594672465,3.3158514513037725,4.738217738041157,2.931072911535169,0.6543486749202883,5.20779714815005,-0.0012147689826614183,-0.003962767337934034,0.0015332293726111974,1468.5933957476607,240.46758436907794,2696.7192071262434,5111.734028098797,-95.90735976943688,10319.375415967032,851.9556713497998,-15.9845599615727,1719.8959026611724,-2.915445558387637,-9.510641611042443,3.6797504942671684,4.5,2.982498842458547,6.017501157541453
1,1.0,0,10,9.117031550641387,5.476149405056322,12.757913696226453,0.0,0.0,0.0,,,,18560.63643612962,4392.397269882629,32728.875602376607,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
1,1.0,1,10,7.70053888386667,4.8220924168930885,10.578985350840252,1.416492666774717,0.45683293173706163,2.3761524018123725,1.416492666774717,0.45683293173706163,2.3761524018123725,14113.01858074868,3355.376208401003,24870.660953096354,4447.617855380938,503.80741709136146,8391.428293670513,4447.617855380938,503.80741709136146,8391.428293670513,4447.617855380938,503.80741709136146,8391.428293670513,1.8,1.4983790449602394,2.1016209550397607
1,1.0,2,10,6.378264180491496,4.334665603298476,8.421862757684515,2.7387673701498914,1.0534506549107907,4.4240840853889924,1.322274703375174,0.4474248871850983,2.19712451956525,9845.715564794635,2378.82400685819,17312.60712273108,8714.920871334984,1766.9539559553268,15662.88778671464,4357.460435667492,883.4769779776634,7831.44389335732,4267.303015954045,869.4460092372333,7665.160022670856,3.3,2.7110662584135135,3.888933741586486
1,1.0,3,10,5.697855070478431,3.9795243961534648,7.416185744803396,3.4191764801629567,1.3420099893415949,5.496342970984319,0.6804091100130654,0.26143727289673585,1.099380947129395,7747.804714231888,1627.9841779773305,13867.625250486446,10812.831721897728,2268.371302784073,19357.292141011385,3604.277240632576,756.1237675946913,6452.430713670461,2097.9108505627455,452.76029664541056,3743.0614044800805,4.4,3.6310144322718845,5.168985567728116
1,1.0,4,10,4.972080204282236,3.7088779884111998,6.235282420153272,4.144951346359152,1.5684062423822613,6.721496450336042,0.7257748661961948,0.19710502988371492,1.2544447025086747,5384.0256077177155,1138.5324875008446,9629.518727934586,13176.610828411902,2610.087373256263,23743.13428356754,3294.1527071029755,652.5218433140658,5935.783570891885,2363.7791065141732,271.7634081895667,4455.79480483878,5.3,4.230946233100898,6.369053766899102
1,1.0,5,10,4.621847687906537,3.634873034029055,5.608822341784019,4.49518386273485,1.7998746988778134,7.190493026591886,0.3502325163756986,-0.14117340325534977,0.8416384360067469,4371.557626614535,1054.6048853546176,7688.510367874453,14189.078809515082,3277.749095222496,25100.408523807666,2837.815761903016,655.5498190444987,5020.081704761534,1012.4679811031796,-680.7120425688239,2705.648004775183,5.9,4.919731896120778,6.880268103879223
1,1.0,6,10,4.397428462334205,3.477002313444714,5.317854611223696,4.719603088307181,1.8912687746762913,7.547937401938071,0.2244192255723318,-0.0736302158112101,0.5224686669558737,3669.733432881555,652.855219948257,6686.611645814854,14890.903003248062,3406.9171068914184,26374.888899604706,2481.8171672080102,567.8195178152364,4395.814816600784,701.824193732981,-372.52719559928437,1776.1755830652464,6.5,5.474377868802519,7.525622131197481
1,2.0,0,10,11.329721376236918,7.32183845294448,15.337604299529357,0.0,0.0,0.0,,,,44219.02985059853,16467.738370227158,71970.32133096989,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
1,2.0,1,10,8.919878777503362,6.156652554484453,11.683105000522271,2.409842598733556,0.9794869786059781,3.8401982188611337,2.409842598733556,0.9794869786059781,3.8401982188611337,30524.646056641697,11934.57743744594,49114.71467583746,13694.383793956833,3631.2215105430405,23757.546077370625,13694.383793956833,3631.2215105430405,23757.546077370625,13694.383793956833,3631.2215105430405,23757.546077370625,2.9,2.4939303619563953,3.3060696380436045
1,2.0,2,10,7.2329513800886165,5.243447245213057,9.222455514964176,4.096769996148302,1.8835775153955847,6.309962476901019,1.6869273974147454,0.8257049403341522,2.5481498544953385,21380.88317208992,8206.04314032789,34555.72320385195,22838.146678508612,7308.609561318692,38367.68379569853,11419.073339254306,3654.304780659346,19183.841897849266,9143.76288455178,3348.58268592327,14938.94308318029,5.3,4.7110662584135135,5.888933741586486
1,2.0,3,10,6.131197778594594,4.754765536943801,7.507630020245387,5.198523597642325,2.437007680144922,7.960039515139727,1.101753601494023,0.4336499318512822,1.7698572711367637,15091.06756004304,6325.082638983176,23857.052481102903,29127.96229055549,9501.29058300937,48754.633998101606,9709.320763518497,3167.096861003125,16251.54466603387,6289.815612046879,1693.707055573922,10885.924168519836,7.8,6.85818886975084,8.74181113024916
1,2.0,4,10,5.373833104015217,4.371656923976984,6.376009284053451,5.955888272221702,2.810747698099332,9.101028846344072,0.757364674579377,0.28029315478124905,1.2344361943775048,11016.11969869324,4904.953566962467,17127.28583042401,33202.91015190529,10844.071410995573,55561.74889281501,8300.727537976323,2711.0178527488933,13890.437223203753,4074.9478613498018,884.863081624123,7265.032641075481,10.0,8.88155956477889,11.11844043522111
1,2.0,5,10,4.884402310433081,4.141253382297012,5.62755123856915,6.445319065803838,3.0616694440529213,9.828968687554756,0.48943079358213615,0.05563153575155816,0.9232300514127141,8489.198416023857,3765.5830761829375,13212.813755864776,35729.83143457468,12307.927221809256,59151.7356473401,7145.966286914935,2461.585444361852,11830.347129468018,2526.9212826693824,245.52606825422845,4808.316497084536,12.1,10.86326213014749,13.33673786985251
1,2.0,6,10,4.558731381344672,3.992503309896222,5.124959452793123,6.770989994892247,3.18685960516041,10.355120384624083,0.3256709290884082,0.04428701186515277,0.6070548463116636,6707.474866417411,3138.996981235206,10275.952751599616,37511.554984181115,12952.037229995403,62071.07273836683,6251.925830696853,2158.6728716659018,10345.178789727805,1781.7235496064466,154.03098493737048,3409.416114275523,13.8,12.459567155635103,15.140432844364899
